codi_estacio,nom_estacio,codi_tipus,latitud,longitud,geocoded_column.type,geocoded_column.coordinates,emplacament,altitud,codi_municipi,nom_municipi,codi_comarca,nom_comarca,codi_provincia,nom_provincia,codi_xarxa,nom_xarxa,codi_estat_ema,nom_estat_ema,data_inici,:@computed_region_bh64_c7uy,:@computed_region_wvic_k925,data_fi,
YQ,Port de Barcelona - ZAL Prat,A,41.31928,2.1372,Point,c(2.1372, 41.31928),Port de Barcelona,7,81691,El Prat de Llobregat,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,2021-12-02T00:00:00,503,31,NA
UO,Fornells de la Selva,A,41.91461,2.82069,Point,c(2.82069, 41.91461),La Torre de Reset,97,170736,Fornells de la Selva,20,Gironès,17,Girona,1,XEMA,2,Operativa,1998-11-10T00:00:00,919,14,NA
DP,Das - Aeròdrom,A,42.38605,1.8664,Point,c(1.8664, 42.38605),Aeròdrom de la Cerdanya,1097,170617,Das,15,Cerdanya,17,Girona,1,XEMA,2,Operativa,2001-05-22T00:00:00,381,4,NA
YN,Vielha - Elipòrt,A,42.69737,0.80198,Point,c(0.80198, 42.69737),Elipòrt de VIelha,1027,252430,Vielha e Mijaran,39,Val d'Aran,25,Lleida,1,XEMA,2,Operativa,2021-03-11T00:00:00,326,1,NA
UJ,Santa Coloma de Queralt,A,41.52879,1.3683,Point,c(1.3683, 41.52879),Partida la Cabana,709,431397,Santa Coloma de Queralt,16,Conca de Barberà,43,Tarragona,1,XEMA,2,Operativa,1996-11-19T00:00:00,661,28,NA
KE,Pantà de Sau,A,41.96867,2.41404,Point,c(2.41404, 41.96867),Central hidroelèctrica de Sau,426,83036,Vilanova de Sau,24,Osona,8,Barcelona,1,XEMA,2,Operativa,1996-01-05T00:00:00,19,13,NA
X2,Barcelona - Zoo,A,41.38943,2.18847,Point,c(2.18847, 41.38943),Zoo,7,80193,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA,1,Desmantellada,2006-09-22T00:00:00,512,29,2024-10-03T00:00:00
Z5,Certascan (2.400 m),A,42.70029,1.27201,Point,c(1.27201, 42.70029),Certascan,2400,251235,Lladorre,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,2000-11-11T00:00:00,315,2,NA
DE,Botarell,A,41.15404,0.99772,Point,c(0.99772, 41.15404),Planta de compostatge,231,430332,Botarell,8,Baix Camp,43,Tarragona,1,XEMA,1,Desmantellada,1998-01-16T00:00:00,427,39,2007-01-16T00:00:00
MW,Navès,A,42.00707,1.65239,Point,c(1.65239, 42.00707),el Garrigar,545,251462,Navès,35,Solsonès,25,Lleida,1,XEMA,2,Operativa,2010-03-22T00:00:00,67,12,NA
XM,els Alamús,A,41.59522,0.73507,Point,c(0.73507, 41.59522),-,235,250045,Els Alamús,33,Segrià,25,Lleida,1,XEMA,2,Operativa,2011-06-22T00:00:00,860,21,NA
Z9,Cadí Nord (2.143 m) - Prat d'Aguiló,A,42.29265,1.71498,Point,c(1.71498, 42.29265),Cadí Nord - Prat d'Aguiló,2143,251399,Montellà i Martinet,15,Cerdanya,25,Lleida,1,XEMA,2,Operativa,2003-11-06T00:00:00,433,4,NA
XE,Tarragona - Complex Educatiu,A,41.10393,1201,Point,c(1.201, 41.10393),Complex Educatiu,5,431482,Tarragona,36,Tarragonès,43,Tarragona,1,XEMA,2,Operativa,2009-02-05T00:00:00,230,37,NA
C7,Tàrrega,A,41.66695,1.16234,Point,c(1.16234, 41.66695),Abocador comarcal,427,252173,Tàrrega,38,Urgell,25,Lleida,1,XEMA,2,Operativa,1995-11-06T00:00:00,880,17,NA
WJ,el Masroig,A,41.1223,0.72182,Point,c(0.72182, 41.1223),Finca Terranova,141,430825,El Masroig,29,Priorat,43,Tarragona,1,XEMA,2,Operativa,2000-06-20T00:00:00,520,35,NA
VO,Lladurs,A,42.08745,1.42792,Point,c(1.42792, 42.08745),Masia el Pla - Montpol,785,251240,Lladurs,35,Solsonès,25,Lleida,1,XEMA,2,Operativa,1998-05-05T00:00:00,81,12,NA
WH,Bellvís,A,41.67342,0.8129,Point,c(0.8129, 41.67342),"Molí de Balaguer, crta. de Térmens",196,250523,Bellvís,27,Pla d'Urgell,25,Lleida,1,XEMA,1,Desmantellada,1997-09-17T00:00:00,619,23,2004-11-17T00:00:00
YB,Olot,A,42.18813,2.47097,Point,c(2.47097, 42.18813),Pla de Dalt,433,171143,Olot,19,Garrotxa,17,Girona,1,XEMA,2,Operativa,2016-07-21T00:00:00,294,10,NA
VY,Nulles,A,41.25095,1.29863,Point,c(1.29863, 41.25095),Cooperativa agrària,240,430982,Nulles,1,Alt Camp,43,Tarragona,1,XEMA,2,Operativa,2000-09-18T00:00:00,375,30,NA
X4,Barcelona - el Raval,A,41.3839,2.16775,Point,c(2.16775, 41.3839),"Facultat de Geografia i Història. c. Montalegre nº6, 6a",33,80193,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA,2,Operativa,2006-10-11T00:00:00,512,29,NA
WL,Sant Martí de Riucorb,A,41.57236,1.0882,Point,c(1.0882, 41.57236),"Camí de les Comes, pol. 2, parc. 137",413,259025,Sant Martí de Riucorb,38,Urgell,25,Lleida,1,XEMA,2,Operativa,2002-02-05T00:00:00,599,17,NA
X7,Torres de Segre,A,41.51909,0.55314,Point,c(0.55314, 41.51909),Torres de Segre,215,252326,Torres de Segre,33,Segrià,25,Lleida,1,XEMA,2,Operativa,2007-07-02T00:00:00,562,21,NA
Z8,el Port del Comte (2.316 m),A,42.18254,1.52407,Point,c(1.52407, 42.18254),Port del Comte,2316,251636,La Coma i la Pedra,35,Solsonès,25,Lleida,1,XEMA,1,Desmantellada,2002-10-03T00:00:00,277,12,2024-09-17T00:00:00
CY,Muntanyola,A,41.87813,2.17873,Point,c(2.17873, 41.87813),Esglèsia de St. Quirze i Sta. Julita,816,81290,Muntanyola,24,Osona,8,Barcelona,1,XEMA,2,Operativa,1996-01-12T00:00:00,25,13,NA
U3,Sant Martí Sarroca,A,41.37491,1.63032,Point,c(1.63032, 41.37491),Mas Rabell de Fontenac,257,82270,Sant Martí Sarroca,3,Alt Penedès,8,Barcelona,1,XEMA,2,Operativa,1997-05-24T00:00:00,846,32,NA
YD,les Borges Blanques,A,41.51135,0.85617,Point,c(0.85617, 41.51135),Escola Agrària de les Borges Blanques,283,250582,Les Borges Blanques,18,Garrigues,25,Lleida,1,XEMA,2,Operativa,2017-01-25T00:00:00,807,27,NA
MS,Castellar de n'Hug - el Clot del Moro,A,42.25945,1.97609,Point,c(1.97609, 42.25945),Aforament Castellar de n'Hug,945,80522,Castellar de n'Hug,14,Berguedà,8,Barcelona,1,XEMA,2,Operativa,2010-01-26T00:00:00,260,8,NA
V3,Gurb,A,41.95224,2.23271,Point,c(2.23271, 41.95224),Masia Can Borra,509,81000,Gurb,24,Osona,8,Barcelona,1,XEMA,1,Desmantellada,1999-03-31T00:00:00,9,13,2022-11-15T00:00:00
UD,Serra de Daró,A,42.02895,3.06227,Point,c(3.06227, 42.02895),Camí de la Barceloneta - St. Iscle d'Empordà,12,171910,Serra de Daró,10,Baix Empordà,17,Girona,1,XEMA,1,Desmantellada,1999-06-09T00:00:00,123,16,2013-06-01T00:00:00
VM,Vilanova de Segrià,A,41.7145,0.62839,Point,c(0.62839, 41.7145),Partida lo Sort,222,252516,Vilanova de Segrià,33,Segrià,25,Lleida,1,XEMA,2,Operativa,1997-09-17T00:00:00,899,21,NA
CJ,Organyà,A,42.21624,1.33132,Point,c(1.33132, 42.21624),Càmping municipal,566.5,251556,Organyà,4,Alt Urgell,25,Lleida,1,XEMA,2,Operativa,1996-01-16T00:00:00,358,5,NA
WI,Maials,A,41.35741,0.4809,Point,c(0.4809, 41.35741),Paratge d'Argelagar,350,251333,Maials,33,Segrià,25,Lleida,1,XEMA,2,Operativa,2000-12-20T00:00:00,848,21,NA
D6,Portbou,A,42.43515,3.16622,Point,c(3.16622, 42.43515),Punta de l'Aucell  (zona fronterera),196,171387,Portbou,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,1998-03-25T00:00:00,NA,NA,NA
VT,Cerdanyola del Vallès,A,41.48401,2.12745,Point,c(2.12745, 41.48401),Parc Tecnològic del Vallès. Masia Can Fatjó del Molí,84,82665,Cerdanyola del Vallès,40,Vallès Occidental,8,Barcelona,1,XEMA,1,Desmantellada,1998-05-15T00:00:00,570,26,2014-01-03T00:00:00
U9,l'Aldea,A,40.76947,0.61635,Point,c(0.61635, 40.76947),Barranc del Mas Roig,62,439044,L'Aldea,9,Baix Ebre,43,Tarragona,1,XEMA,2,Operativa,1991-06-03T00:00:00,216,40,NA
VR,Tornabous - Montargull,A,41.68994,1.04401,Point,c(1.04401, 41.68994),Masia Mignot,291,252252,Tornabous,38,Urgell,25,Lleida,1,XEMA,1,Desmantellada,1997-09-17T00:00:00,670,17,2013-08-06T00:00:00
WK,Alfarràs,A,41.81949,0.57768,Point,c(0.57768, 41.81949),"Escola de Capacitació Agrària d'Alfarràs(de 1997 a 2001, és Almenar)",268,250138,Alfarràs,33,Segrià,25,Lleida,1,XEMA,2,Operativa,1997-09-17T00:00:00,724,21,NA
D2,Vacarisses,A,41.59252,1915,Point,c(1.915, 41.59252),Planta potabilitzadora,343,82917,Vacarisses,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,1996-02-15T00:00:00,861,26,NA
MV,Guixers - Valls,A,42.13598,1.67295,Point,c(1.67295, 42.13598),Cal Teuler,845,251116,Guixers,35,Solsonès,25,Lleida,1,XEMA,2,Operativa,2015-06-17T00:00:00,304,12,NA
CS,Viladrau - centre,A,41.84502,2.3881,Point,c(2.3881, 41.84502),Mas del Torrent,777,172207,Viladrau,24,Osona,17,Girona,1,XEMA,1,Desmantellada,1995-12-05T00:00:00,652,13,2004-06-08T00:00:00
CG,Molló - Fabert,A,42.37717,2.41456,Point,c(2.41456, 42.37717),Veïnat de Fabert,1405,171077,Molló,31,Ripollès,17,Girona,1,XEMA,2,Operativa,1996-06-06T00:00:00,378,7,NA
XJ,Girona,A,41.98223,2.80686,Point,c(2.80686, 41.98223),Horts de Santa Eugènia,72,170792,Girona,20,Gironès,17,Girona,1,XEMA,2,Operativa,2010-09-15T00:00:00,133,14,NA
YP,Palafrugell,A,41.90694,3.16073,Point,c(3.16073, 41.90694),Horts urbans,35,171175,Palafrugell,10,Baix Empordà,17,Girona,1,XEMA,2,Operativa,2021-12-02T00:00:00,588,16,NA
VB,Benissanet,A,41.06289,0.63517,Point,c(0.63517, 41.06289),"Grup Fruiter Benissanet, crta. de Mora, s/n",32,430265,Benissanet,30,Ribera d'Ebre,43,Tarragona,1,XEMA,2,Operativa,1993-07-14T00:00:00,159,36,NA
Z7,Espot (2.519 m),A,42.53412,1.05476,Point,c(1.05476, 42.53412),Espot,2519,250827,Espot,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,2002-03-01T00:00:00,323,2,NA
XH,Sort,A,42.40533,1.12993,Point,c(1.12993, 42.40533),Escola de Piragüisme,679,252094,Sort,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,2009-07-31T00:00:00,334,2,NA
CR,la Quar,A,42.08032,1.9624,Point,c(1.9624, 42.08032),Sant Maurici,873,81770,La Quar,14,Berguedà,8,Barcelona,1,XEMA,2,Operativa,1996-03-13T00:00:00,66,8,NA
XK,Puig Sesolles (1.668 m),A,41.77362,2.43774,Point,c(2.43774, 41.77362),Puig Sesolles (Massís del Montseny),1668,80811,Fogars de Montclús,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,2010-09-22T00:00:00,786,22,NA
Z1,Bonaigua (2.266 m),A,42.64691,0.98486,Point,c(0.98486, 42.64691),Port de la Bonaigua,2266,250241,Alt Àneu,26,Pallars Sobirà,25,Lleida,1,XEMA,2,Operativa,1997-11-06T00:00:00,328,2,NA
XF,Sabadell - Parc Agrari,A,41.56568,2.06952,Point,c(2.06952, 41.56568),Parc Agrari,258,81878,Sabadell,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,2008-10-23T00:00:00,660,26,NA
YF,Miami Platja,A,41.02066,0.9345,Point,c(0.9345, 41.02066),Plana dels Penyals,43,430923,Mont-roig del Camp,8,Baix Camp,43,Tarragona,1,XEMA,2,Operativa,2017-12-20T00:00:00,155,39,NA
XG,Parets del Vallès,A,41.56734,2.22619,Point,c(2.22619, 41.56734),CEIP Pau Vila,123,81593,Parets del Vallès,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,2008-10-30T00:00:00,695,22,NA
UA,l'Ametlla de Mar,A,40.9091,0.76943,Point,c(0.76943, 40.9091),Caseta d'en Butxaca,93,430136,L'Ametlla de Mar,9,Baix Ebre,43,Tarragona,1,XEMA,2,Operativa,1995-08-29T00:00:00,206,40,NA
VS,Lac Redon (2.247 m),A,42.63835,0.77889,Point,c(0.77889, 42.63835),Lac Redon - Tuc deth Pòrt de Vielha,2247,252430,Vielha e Mijaran,39,Val d'Aran,25,Lleida,1,XEMA,2,Operativa,1999-07-15T00:00:00,326,1,NA
M6,Sant Joan de les Abadesses,A,42.22189,2.2427,Point,c(2.2427, 42.22189),Agrupació Esportiva del Ripollès,730,171674,Sant Joan de les Abadesses,31,Ripollès,17,Girona,1,XEMA,2,Operativa,1996-01-13T00:00:00,257,7,NA
Z4,Ulldeter (2.364 m),A,42.42205,2.2524,Point,c(2.2524, 42.42205),Ulldeter,2364,171925,Setcases,31,Ripollès,17,Girona,1,XEMA,1,Desmantellada,2000-11-08T00:00:00,393,7,2011-09-20T00:00:00
D7,Vinebre,A,41.18499,0.59376,Point,c(0.59376, 41.18499),Partida de Mallols,53,431779,Vinebre,30,Ribera d'Ebre,43,Tarragona,1,XEMA,2,Operativa,1998-01-22T00:00:00,443,36,NA
VU,Rellinars,A,41.63286,1.91718,Point,c(1.91718, 41.63286),Puig de la Ballesta,421,81799,Rellinars,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,1998-02-18T00:00:00,744,26,NA
WX,Camarasa,A,41.9178,0.88175,Point,c(0.88175, 41.9178),Camarasa,668,250621,Camarasa,23,Noguera,25,Lleida,1,XEMA,2,Operativa,2006-03-07T00:00:00,113,15,NA
XC,Castellbisbal,A,41.47892,1.97546,Point,c(1.97546, 41.47892),Turó de la Verdalaga,147,80543,Castellbisbal,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,2008-03-18T00:00:00,946,26,NA
DN,Anglès,A,41.96095,2.63108,Point,c(2.63108, 41.96095),Poliesportiu municipal,150,170084,Anglès,34,Selva,17,Girona,1,XEMA,2,Operativa,2001-05-10T00:00:00,896,20,NA
XP,Gandesa,A,41.06564,0.43006,Point,c(0.43006, 41.06564),IRTA UETA Gandesa,351,430640,Gandesa,37,Terra Alta,43,Tarragona,1,XEMA,2,Operativa,2011-11-30T00:00:00,205,38,NA
WM,Santuari de Queralt,A,42.10736,1.8267,Point,c(1.8267, 42.10736),Santuari de la Mare de Déu de Queralt,1167,80229,Berga,14,Berguedà,8,Barcelona,1,XEMA,2,Operativa,2002-01-23T00:00:00,73,8,NA
CN,Guardiola de Berguedà - Escola,A,42.22903,1.87672,Point,c(1.87672, 42.22903),Centre d'Assistència Primària,719.8,80996,Guardiola de Berguedà,14,Berguedà,8,Barcelona,1,XEMA,1,Desmantellada,1996-02-20T00:00:00,181,8,2005-03-21T00:00:00
WO,la Bisbal del Penedès,A,41.27151,1.46717,Point,c(1.46717, 41.27151),Fondo de Cal Sumoi,185,430287,La Bisbal del Penedès,12,Baix Penedès,43,Tarragona,1,XEMA,2,Operativa,2002-05-16T00:00:00,253,33,NA
VQ,Constantí,A,41.1713,1.16774,Point,c(1.16774, 41.1713),IRTA - Centre de Mas Bové. Apt. correus 415,112,430477,Constantí,36,Tarragonès,43,Tarragona,1,XEMA,2,Operativa,1990-05-29T00:00:00,420,37,NA
XT,Solsona,A,41.98766,1.51165,Point,c(1.51165, 41.98766),Magatzem Municipal,691,252075,Solsona,35,Solsonès,25,Lleida,1,XEMA,2,Operativa,2012-07-12T00:00:00,132,12,NA
XW,Lleida - la Bordeta,A,41.59822,0.64855,Point,c(0.64855, 41.59822),Torre de Vallverdú,165,251207,Lleida,33,Segrià,25,Lleida,1,XEMA,1,Desmantellada,2013-07-24T00:00:00,875,21,2018-10-17T00:00:00
UH,el Montmell,A,41.34171,1.48769,Point,c(1.48769, 41.34171),Finca Vallflor - Aigua Viva,545,430901,El Montmell,12,Baix Penedès,43,Tarragona,1,XEMA,2,Operativa,1995-07-13T00:00:00,835,33,NA
W6,Riudoms,A,41.13738,1.0187,Point,c(1.0187, 41.13738),Mas d'en Domènec,158,431299,Riudoms,8,Baix Camp,43,Tarragona,1,XEMA,1,Desmantellada,1999-10-19T00:00:00,427,39,2019-02-06T00:00:00
VW,Caldes de Montbui - Torre Marimon,A,41.61235,2.17099,Point,c(2.17099, 41.61235),Finca Torre Marimon,164.5,80333,Caldes de Montbui,41,Vallès Oriental,8,Barcelona,1,XEMA,1,Desmantellada,1990-12-23T00:00:00,758,22,2007-03-08T00:00:00
D4,Roses,A,42.27068,3.18147,Point,c(3.18147, 42.27068),Poliesportiu Municipal,24,171523,Roses,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,1996-02-07T00:00:00,363,6,NA
WP,Canaletes,A,41.48518,1.69337,Point,c(1.69337, 41.48518),Camp del Roure - Can Feixes,325,81228,Mediona,3,Alt Penedès,8,Barcelona,1,XEMA,2,Operativa,2002-05-17T00:00:00,945,24,NA
XZ,Torroella de Fluvià,A,42.18139,3.06202,Point,c(3.06202, 42.18139),NA,7,171984,Torroella de Fluvià,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,2014-04-08T00:00:00,281,6,NA
U4,Castellnou de Bages,A,41.83094,1.84699,Point,c(1.84699, 41.83094),Masia Can Vilaseca,507,80620,Castellnou de Bages,7,Bages,8,Barcelona,1,XEMA,2,Operativa,1998-01-22T00:00:00,655,18,NA
KP,Fogars de la Selva,A,41.73894,2.69436,Point,c(2.69436, 41.73894),Can Simó,36,80826,Fogars de la Selva,34,Selva,8,Barcelona,1,XEMA,2,Operativa,1996-01-05T00:00:00,901,20,NA
XU,Canyelles,A,41.28801,1.72195,Point,c(1.72195, 41.28801),Cementiri,148,80431,Canyelles,17,Garraf,8,Barcelona,1,XEMA,2,Operativa,2013-07-16T00:00:00,538,34,NA
UX,Ulldecona - els Valentins,A,40.62652,0.37112,Point,c(0.37112, 40.62652),Comunitat de regants del Pou Valentins,210,431567,Ulldecona,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,1990-11-15T00:00:00,225,41,NA
U6,Vinyols i els Arcs - Cambrils,A,41.08017,1.06661,Point,c(1.06661, 41.08017),Casa Sant Josep - Escola la Salle,29,431785,Vinyols i els Arcs,8,Baix Camp,43,Tarragona,1,XEMA,2,Operativa,1989-05-17T00:00:00,185,39,NA
Y9,Port de Barcelona - ZAL Prat (ca l'Arana),A,41.31723,2.13091,Point,c(2.13091, 41.31723),Port de Barcelona,4,81691,El Prat de Llobregat,11,Baix Llobregat,8,Barcelona,1,XEMA,1,Desmantellada,2015-06-26T00:00:00,503,31,2021-11-30T00:00:00
CE,els Hostalets de Pierola,A,41.53109,1.80813,Point,c(1.80813, 41.53109),Abocador de residus,316,81629,Els Hostalets de Pierola,6,Anoia,8,Barcelona,1,XEMA,2,Operativa,1996-03-31T00:00:00,700,24,NA
UV,Mas de Barberans - Mitanplana,A,40.71727,0.41633,Point,c(0.41633, 40.71727),Finca del Sifonero,205,430770,Mas de Barberans,22,Montsià,43,Tarragona,1,XEMA,1,Desmantellada,1992-11-17T00:00:00,219,41,2011-01-03T00:00:00
VP,Pinós,A,41.80483,1.53853,Point,c(1.53853, 41.80483),Masia Can Caselles,659,251673,Pinós,35,Solsonès,25,Lleida,1,XEMA,2,Operativa,1995-07-03T00:00:00,587,12,NA
X5,PN dels Ports,A,40.79705,0.31822,Point,c(0.31822, 40.79705),Montpublic 21 sector Cova Avellanes,1055,431331,Roquetes,9,Baix Ebre,43,Tarragona,1,XEMA,2,Operativa,2007-01-04T00:00:00,210,40,NA
X1,Falset,A,41.15374,0.81953,Point,c(0.81953, 41.15374),Abocador comarcal. Crta de Porrera,359,430555,Falset,29,Priorat,43,Tarragona,1,XEMA,2,Operativa,2006-12-20T00:00:00,414,35,NA
XY,Alcarràs,A,41.56509,0.55027,Point,c(0.55027, 41.56509),Central del revés,122,250117,Alcarràs,33,Segrià,25,Lleida,1,XEMA,2,Operativa,2013-07-31T00:00:00,759,21,NA
KX,la Roca del Vallès - ETAP Cardedeu,A,41.61865,2.36114,Point,c(2.36114, 41.61865),Planta tractament d'Aigües Ter - Llobregat,156,81810,La Roca del Vallès,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,1996-01-05T00:00:00,939,22,NA
U1,Cabanes - Mas de la Rajoleria,A,42.30648,2.95481,Point,c(2.95481, 42.30648),"Mas St. Feliu, S.A., camí de St. Feli, s/n",31,170307,Cabanes,2,Alt Empordà,17,Girona,1,XEMA,1,Desmantellada,1991-06-11T00:00:00,248,6,2024-05-10T00:00:00
CB,les Llosses,A,42.15085,2.19914,Point,c(2.19914, 42.15085),Abocador comarcal,700,170963,Les Llosses,31,Ripollès,17,Girona,1,XEMA,1,Desmantellada,1995-11-30T00:00:00,65,7,2003-06-02T00:00:00
DG,Núria (1.971 m),A,42.39848,2.15517,Point,c(2.15517, 42.39848),Santuari de Núria,1971.4,170433,Queralbs,31,Ripollès,17,Girona,1,XEMA,2,Operativa,1998-05-15T00:00:00,402,7,NA
VX,Tagamanent - PN del Montseny,A,41.74761,2.30291,Point,c(2.30291, 41.74761),Can Bellver - Serrat de Bellver. Parc Natural del Montseny,1030,82763,Tagamanent,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,1996-01-04T00:00:00,818,22,NA
C6,Castellnou de Seana,A,41.6566,0.95172,Point,c(0.95172, 41.6566),Abocador comarcal,264,250680,Castellnou de Seana,27,Pla d'Urgell,25,Lleida,1,XEMA,2,Operativa,1995-12-16T00:00:00,754,23,NA
D3,Vallirana,A,41.38197,1.93564,Point,c(1.93564, 41.38197),C. Arquitecte Baldric,252,82956,Vallirana,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,1995-10-28T00:00:00,813,31,NA
W4,Vilafranca del Penedès - la Granada,A,41.36619,1.72857,Point,c(1.72857, 41.36619),Rasa de Sagols,240,83054,Vilafranca del Penedès,3,Alt Penedès,8,Barcelona,1,XEMA,2,Operativa,1999-12-25T00:00:00,940,32,NA
Z6,Sasseuva (2.228 m),A,42.77011,0.73198,Point,c(0.73198, 42.77011),Sasseuva,2228,250313,Arres,39,Val d'Aran,25,Lleida,1,XEMA,2,Operativa,2001-09-20T00:00:00,310,1,NA
WZ,Cunit,A,41.20187,1.63346,Point,c(1.63346, 41.20187),-,17,430516,Cunit,12,Baix Penedès,43,Tarragona,1,XEMA,2,Operativa,2006-06-27T00:00:00,425,33,NA
CI,Sant Pau de Segúries,A,42.25839,2.36429,Point,c(2.36429, 42.25839),Estació meteorològica municipal,852,171772,Sant Pau de Segúries,31,Ripollès,17,Girona,1,XEMA,2,Operativa,1995-11-24T00:00:00,264,7,NA
V6,Viladrau - Aigües de Viladrau,A,41.84256,2.42636,Point,c(2.42636, 41.84256),"Camí vell de Viladrau, s/n",871,170097,Arbúcies,34,Selva,17,Girona,1,XEMA,1,Desmantellada,1995-10-03T00:00:00,730,20,2005-03-29T00:00:00
UY,Os de Balaguer - el Monestir d'Avellanes,A,41.87912,0.76103,Point,c(0.76103, 41.87912),Quatre Vents - Monestir de les Avellanes,576,251569,Os de Balaguer,23,Noguera,25,Lleida,1,XEMA,2,Operativa,1995-07-07T00:00:00,725,15,NA
WR,Torroja del Priorat,A,41.2163,0.79748,Point,c(0.79748, 41.2163),"Ref.cadastral: Pol. 3, parc. 38",300,431541,Torroja del Priorat,29,Priorat,43,Tarragona,1,XEMA,2,Operativa,2003-11-27T00:00:00,521,35,NA
UU,Amposta,A,40.70776,0.6321,Point,c(0.6321, 40.70776),"IRTA - Estació Exp. Ebre, ctra. de Balada, s/n",3,430141,Amposta,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,1992-02-06T00:00:00,227,41,NA
DH,Badalona - Mas Ram,A,41.47638,2.25213,Point,c(2.25213, 41.47638),Urb. Mas Ram - Escola Pere Vergès,126,80155,Badalona,13,Barcelonès,8,Barcelona,1,XEMA,1,Desmantellada,1998-03-23T00:00:00,531,29,2005-09-08T00:00:00
W1,Castelló d'Empúries,A,42.24726,3.09021,Point,c(3.09021, 42.24726),Can Garriga - Mas Bellesguard,2,170470,Castelló d'Empúries,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,2000-03-14T00:00:00,266,6,NA
WG,Algerri,A,41.80104,0.64804,Point,c(0.64804, 41.80104),"Comunitat de regants d'Algerri, ctra. d'Albesa, s/n",301,250156,Algerri,23,Noguera,25,Lleida,1,XEMA,2,Operativa,2000-12-13T00:00:00,645,15,NA
Y5,Navata,A,42.22793,2.86295,Point,c(2.86295, 42.22793),Can Tries,152,171117,Navata,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,2014-08-26T00:00:00,359,6,NA
UK,Sant Pere de Ribes - PN del Garraf,A,41.27861,1.80479,Point,c(1.80479, 41.27861),Granja escola Can Pere,161,82310,Sant Pere de Ribes,17,Garraf,8,Barcelona,1,XEMA,2,Operativa,1999-05-11T00:00:00,541,34,NA
CV,la Pobla de Segur - Bombers,A,42.23939,0.96434,Point,c(0.96434, 42.23939),Parc de Bombers,513.3,251713,La Pobla de Segur,25,Pallars Jussà,25,Lleida,1,XEMA,1,Desmantellada,1995-12-22T00:00:00,249,9,2016-11-18T00:00:00
WN,Montserrat - Sant Dimes,A,41.59539,1.83751,Point,c(1.83751, 41.59539),Ermita de Sant Dimes,916,81271,Monistrol de Montserrat,7,Bages,8,Barcelona,1,XEMA,2,Operativa,2003-01-02T00:00:00,478,18,NA
YM,Granollers,A,41.60922,2.29841,Point,c(2.29841, 41.60922),Parc del Puig de les Tres Torres,210,80961,Granollers,41,Vallès Oriental,8,Barcelona,1,XEMA,2,Operativa,2019-09-17T00:00:00,560,22,NA
VJ,Lleida - Pla de Lleida,A,41.59957,0.6478,Point,c(0.6478, 41.59957),"C. Pla de Lleida, 10 - Bordeta",161,251207,Lleida,33,Segrià,25,Lleida,1,XEMA,1,Desmantellada,1997-09-16T00:00:00,875,21,2013-07-24T00:00:00
CU,Vielha,A,42.69856,0.79397,Point,c(0.79397, 42.69856),Prat de Tixineret,1002,252430,Vielha e Mijaran,39,Val d'Aran,25,Lleida,1,XEMA,1,Desmantellada,1996-02-15T00:00:00,326,1,2022-06-01T00:00:00
WT,Malgrat de Mar,A,41.64707,2.75658,Point,c(2.75658, 41.64707),Camí de la Pomereda,2,81108,Malgrat de Mar,21,Maresme,8,Barcelona,1,XEMA,2,Operativa,2005-05-04T00:00:00,800,25,NA
WD,Batea,A,41.08671,0.31884,Point,c(0.31884, 41.08671),Clos Cóssos,382,430228,Batea,37,Terra Alta,43,Tarragona,1,XEMA,2,Operativa,1999-12-23T00:00:00,426,38,NA
WF,Vilablareix,A,41.95425,2.77578,Point,c(2.77578, 41.95425),Mas Saüch,108,172155,Vilablareix,20,Gironès,17,Girona,1,XEMA,1,Desmantellada,2001-04-11T00:00:00,894,14,2015-10-01T00:00:00
YS,Cabanes,A,42.32038,2.956401,Point,c(2.956401, 42.32038),Futura deixalleria,33,170307,Cabanes,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,2024-05-13T00:00:00,248,6,NA
