codi_estacio,nom_estacio,codi_tipus,latitud,longitud,geocoded_column.type,geocoded_column.coordinates,emplacament,altitud,codi_municipi,nom_municipi,codi_comarca,nom_comarca,codi_provincia,nom_provincia,codi_xarxa,nom_xarxa,codi_estat_ema,nom_estat_ema,data_inici,:@computed_region_bh64_c7uy,:@computed_region_wvic_k925,data_fi,
X8,Barcelona - Zona Universitària,A,41.37919,2.1054,Point,c(2.1054, 41.37919),Pistes UB,79,80193,Barcelona,13,Barcelonès,8,Barcelona,1,XEMA,2,Operativa,2008-04-17T00:00:00,117,29,NA
CL,Sant Salvador de Guardiola,A,41.67399,1.76796,Point,c(1.76796, 41.67399),Urbanització Miralda,349,80983,Sant Salvador de Guardiola,7,Bages,8,Barcelona,1,XEMA,2,Operativa,1996-02-02T00:00:00,630,18,NA
MQ,Cardona,A,41.92047,1.69584,Point,c(1.69584, 41.92047),Boca nord del túnel de desviament del Cardener,402,80478,Cardona,7,Bages,8,Barcelona,1,XEMA,2,Operativa,2003-01-16T00:00:00,140,18,NA
YA,Puigcerdà,A,42.44013,1.93482,Point,c(1.93482, 42.44013),Poliesportiu municipal,1213,171411,Puigcerdà,15,Cerdanya,17,Girona,1,XEMA,2,Operativa,2016-03-22T00:00:00,348,4,NA
UG,Viladecans,A,41.29928,2.03787,Point,c(2.03787, 41.29928),"Planters Gusi, ctra. antiga de València, km 14",3,83015,Viladecans,11,Baix Llobregat,8,Barcelona,1,XEMA,2,Operativa,1993-04-29T00:00:00,511,31,NA
Z3,Malniu (2.230 m),A,42.46605,1.7785,Point,c(1.7785, 42.46605),Estany de Malniu,2230,170998,Meranges,15,Cerdanya,17,Girona,1,XEMA,2,Operativa,1999-11-03T00:00:00,299,4,NA
XI,Mollerussa,A,41.61817,0.87182,Point,c(0.87182, 41.61817),-,247,251370,Mollerussa,27,Pla d'Urgell,25,Lleida,1,XEMA,2,Operativa,2010-01-20T00:00:00,543,23,NA
U8,Punta del Fangar,A,40.78653,0.74264,Point,c(0.74264, 40.78653),Punta del Fangar,0,439018,Deltebre,9,Baix Ebre,43,Tarragona,1,XEMA,1,Desmantellada,1992-04-30T00:00:00,217,40,2009-02-19T00:00:00
D9,el Vendrell,A,41.21553,1.52121,Point,c(1.52121, 41.21553),Instal·lacions esportives municipals,59,431634,El Vendrell,12,Baix Penedès,43,Tarragona,1,XEMA,2,Operativa,1999-06-11T00:00:00,456,33,NA
J5,Pantà de Darnius - Boadella,A,42.34215,2.83423,Point,c(2.83423, 42.34215),Presa del Pantà de Darnius - Boadella,158,170600,Darnius,2,Alt Empordà,17,Girona,1,XEMA,2,Operativa,1996-01-05T00:00:00,379,6,NA
W3,Ventalló,A,42.15006,3.06494,Point,c(3.06494, 42.15006),el Camp Lletget - Mare de Déu de l'Om - Montiró,4,172109,Ventalló,2,Alt Empordà,17,Girona,1,XEMA,1,Desmantellada,2000-03-14T00:00:00,311,6,2015-01-12T00:00:00
DB,el Perelló,A,40.87287,0.71581,Point,c(0.71581, 40.87287),Dipòsit d'aigua,179,431042,El Perelló,9,Baix Ebre,43,Tarragona,1,XEMA,2,Operativa,1998-02-05T00:00:00,136,40,NA
CW,l'Espluga de Francolí,A,41.39241,1.09894,Point,c(1.09894, 41.39241),Urb. Espluga Parc,446,430542,L'Espluga de Francolí,16,Conca de Barberà,43,Tarragona,1,XEMA,2,Operativa,1996-02-23T00:00:00,532,28,NA
WU,Badalona - Museu,A,41.45215,2.24757,Point,c(2.24757, 41.45215),Museu,42,80155,Badalona,13,Barcelonès,8,Barcelona,1,XEMA,2,Operativa,2005-09-21T00:00:00,531,29,NA
UI,Gisclareny,A,42.26477,1.76218,Point,c(1.76218, 42.26477),Coll de la Bena - Font del Cabrer,1386,80930,Gisclareny,14,Berguedà,8,Barcelona,1,XEMA,2,Operativa,1999-03-12T00:00:00,187,8,NA
XV,Sant Cugat del Vallès - CAR,A,41.48311,2.07956,Point,c(2.07956, 41.48311),Centre d'Alt Rendiment,158,82055,Sant Cugat del Vallès,40,Vallès Occidental,8,Barcelona,1,XEMA,2,Operativa,2013-08-08T00:00:00,937,26,NA
D8,Horta de Sant Joan,A,40.95134,0.30565,Point,c(0.30565, 40.95134),Les Forques,515,430712,Horta de Sant Joan,37,Terra Alta,43,Tarragona,1,XEMA,2,Operativa,1998-01-28T00:00:00,167,38,NA
YR,Vilanova i la Geltrú,A,41.23575,1.73148,Point,c(1.73148, 41.23575),Circuit de ciclisme,31,83073,Vilanova i la Geltrú,17,Garraf,8,Barcelona,1,XEMA,2,Operativa,2023-04-13T00:00:00,412,34,NA
DO,Castell d'Aro,A,41.80857,3.03241,Point,c(3.03241, 41.80857),Parc de Bombers,14,170486,Castell-Platja d'Aro,10,Baix Empordà,17,Girona,1,XEMA,2,Operativa,2001-05-10T00:00:00,749,16,NA
Y6,Tivissa,A,41.04343,0.74032,Point,c(0.74032, 41.04343),-,317,431508,Tivissa,30,Ribera d'Ebre,43,Tarragona,1,XEMA,2,Operativa,2015-03-26T00:00:00,156,36,NA
DQ,Vila-rodona,A,41.30728,1.36259,Point,c(1.36259, 41.30728),Nova estació,287,431704,Vila-rodona,1,Alt Camp,43,Tarragona,1,XEMA,2,Operativa,2005-07-29T00:00:00,506,30,NA
US,les Cases d'Alcanar,A,40.55786,0.52329,Point,c(0.52329, 40.55786),El Mas d'en Serra - Barranc de St. Jaume,24,430043,Alcanar,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,1991-05-06T00:00:00,228,41,NA
DL,Illa de Buda,A,40.70719,0.83449,Point,c(0.83449, 40.70719),Mas de Buda,0.5,439023,Sant Jaume d'Enveja,22,Montsià,43,Tarragona,1,XEMA,2,Operativa,1999-07-14T00:00:00,222,41,NA
D1,Margalef,A,41.28521,0.75383,Point,c(0.75383, 41.28521),Dipòsit d'aigua,404,430751,Margalef,29,Priorat,43,Tarragona,1,XEMA,2,Operativa,1996-01-14T00:00:00,502,35,NA
VL,Seròs - la Creu,A,41.46014,0.40562,Point,c(0.40562, 41.46014),Crta. de Seròs a la Granja d'Escarp,100,252043,Seròs,33,Segrià,25,Lleida,1,XEMA,1,Desmantellada,1998-01-05T00:00:00,566,21,2011-12-15T00:00:00
